X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
29004.1941976285,30718.6771994875,13101,B06,OPP MOHD SULTAN RD,29004,30719
32487.5634968857,38151.1896999261,63189,B08,AFT S'GOON GDN WAY,32488,38151
35518.2707007583,32828.3982001683,82151,B03,BEF JOO CHIAT PL,35518,32828
24537.6792989202,48805.4931004416,47071,B16,BEF BRITISH AMERICAN TOBACCO,24538,48805
30616.4584020318,31035.0239979284,01629,B04,SHAW TWRS,30616,31035
24657.4840967933,29892.8995032853,11519,B15,OPP QUEENSWAY SHOP CTR,24657,29893
31623.2288007652,36825.1146016219,66409,B03,MELROSE,31623,36825
36493.2812998146,44232.8525975613,65129,B26,OPP LP 138,36493,44233
33006.1002001653,36216.5269986067,62089,B05,BARTLEY CHR CH,33006,36217
33804.3054004777,34505.6123003716,70171,B07,BLK 77,33804,34506
40839.8514977799,35057.7241016468,85089,B02,BEF JLN CHEMPAKA KUNING,40840,35058
5338.65789938821,31035.5585001597,26451,NIL,BEF TUAS STH AVE 5,5339,31036
8843.46260217326,32408.2694990135,24679,B20,BET LP 166/167,8843,32408
14275.1981994192,34744.7108991527,21501,B04,PREMIER MILK PTE LTD,14275,34745
31359.341400263,36248.5341019367,66061,B06,AFT BRADDELL FLYOVER,31359,36249
27245.7091968499,29817.5424973533,10161,B07,OPP TIONG BAHRU PLAZA,27246,29818
12384.2225009407,38336.0079984142,31029,B07,OPP JLN BAHAR POWER STN,12384,38336
23785.754198997,46960.2243989424,46401,B09,BLK 864,23786,46960
43232.5742019964,39337.042999952,98121,B05,WESTINGHOUSE,43233,39337
31544.448197677,35353.2853996817,61079,B06,BLK 121,31544,35353
21059.429797828,46645.0684019802,46509,B04,WOODLANDS TOWN GDN,21059,46645
36166.9819980101,38362.7629981712,64139,B12,LP 113,36167,38363
37233.7781999784,33292.8371006564,83199,B07,AFT FRANKEL DR,37234,33293
6895.91659903479,35106.0540975662,25501,B01,WEE WEE HUP KEE,6896,35106
30898.6061006933,30913.1276009945,02141,NIL,SUNTEC TWR TWO,30899,30913
34541.247797436,38468.0849017752,63241,B17,BLK 21,34541,38468
39197.1807,35613.3562010475,75341,B23,OPP THE CLEARWATER CONDO,39197,35613
26801.5353013253,29955.1698977357,10359,B01,BET BLKS 110/113,26802,29955
41636.6846994595,36045.2749022025,96171,B01,BET BLKS 227/228,41637,36045
29529.2419982952,37410.0759993954,53399,B02,BLK 202,29529,37410
33832.7571425049,41378.6009857522,65801,NIL,BLK 309D,33833,41379
37888.9108970425,33285.1118087369,83231,B05,,37889,33285
34550.2604993931,33187.2350018683,81129,B01,BEF GEYLANG FIRE STN,34550,33187
25353.6549030208,29353.9749023019,14209,B04,AFT HEWLETT PACKARD,25354,29354
30639.7619032676,35146.0908995462,52319,B02,BLK 25,30640,35146
26801.4754985415,47293.6155980171,58399,B02,Opp Blk 303,26801,47294
27966.5599980558,32243.551998662,09213,B05,THONG TECK BLDG,27967,32244
26066.7219032703,30660.8473993565,10329,B09,CRESCENT GIRLS' SCH,26067,30661
18820.4457005707,40216.9737010075,NIL,B02,BLK 118,18820,40217
44301.8895005187,41440.0495011727,99091,B06,BEF TURNHOUSE RD,44302,41440
28354.1987973143,39181.4872002593,54181,B01,BLK 258,28354,39181
34570.8624989836,35206.188901771,71179,B04,OPP BLK 1022,34571,35206
24091.8819030336,34747.0433001289,41081,B33,AFT THIRD AVE,24092,34747
39950.603397604,40280.7561025727,77219,B18,OPP BLK 626,39951,40281
35134.5659015536,41394.4837008101,67189,B05,OPP BLK 241,35135,41394
25721.5712986658,30179.1123984829,10411,B01,OPP BLK 53,25722,30179
29398.6421972895,41165.0669020852,55229,B01,SMRT BUSES AMK DEPOT,29399,41165
27148.4475995677,27877.7556017703,14019,B11,OPP MT FABER LODGE,27148,27878
17886.4268008133,40776.5304009958,45239,B10,BET BLKS 306/307,17886,40777
29591.4841019365,34889.6497971158,52008,INT,TOA PAYOH BUS INT,29591,34890
34598.6612025332,36494.5141991215,62259,NIL,SBS HOUGANG DEPOT,34599,36495
28701.4667967058,35962.1412967309,51089,B01,BEF MARYMOUNT CON SCH,28701,35962
42511.8518975664,39457.9777007958,78131,B05,PASIR RIS PR SCH,42512,39458
29137.2900981796,28930.3816001396,05421,B04,AFT CRAIG RD,29137,28930
42946.7653122271,38519.510087798,97129,B02,,42947,38520
31745.6644986747,39891.389009465,54631,B10,OPP TYCO ELECTRONICS,31746,39891
40644.5235993339,35552.9809013674,84591,B08,SBS BEDOK BUS PK,40645,35553
31266.2463012081,39986.1792996141,54501,B10,OPP AMK IND PK 2,31266,39986
23735.1076967043,32378.4373027943,11401,B02,BLK 12,23735,32378
33203.4545020766,39771.8017986739,64081,B01,HOUGANG PT,33203,39772
30095.2031011678,39413.0479023782,54409,B03,OPP BLK 522,30095,39413
9173.99899721296,34068.1587987757,24509,B62,OPP MILLENNIA TWR,9174,34068
29450.7477026844,39911.1574995062,54259,B20,ANDERSON JC,29451,39911
19290.7440989317,35892.8944983112,43211,B04,SBS WEST DISTRICT,19291,35893
32743.4370009305,35614.004902833,70069,B05,MT VERNON CREMATORIUM,32743,35614
31962.4923031654,37492.6248973406,66049,B05,BLK 233,31962,37493
27195.327998452,40510.7799985637,56059,B28,AFT 3M S'PORE,27195,40511
23344.818802432,33947.7585011521,11331,B06,OPP DYNASTY GDN,23345,33948
11561.1155006893,34085.4470970761,23121,B08,HITACHI CABLE,11561,34085
32054.6735021519,37535.8613990789,66041,B06,BLK 230,32055,37536
29474.4252023447,41442.8033995615,55049,B43,MOTOROLA,29474,41443
41137.2028000642,33413.0568017941,94061,B17,KEW GREEN CONDO,41137,33413
43592.1701030049,40701.0548984222,98181,B17,OPP KENYON,43592,40701
20378.1944992117,40693.9458986118,44669,B05,OPP BLK 532,20378,40694
33010.7033973295,37387.0914001344,63011,B17,NAM PENG CTR,33011,37387
30604.776396882,30793.3298989263,80151,B01,OPP SUNTEC CITY,30605,30793
36113.8975025633,31379.1272023209,92251,B07,OPP SINGA INN,36114,31379
29637.1776993958,41000.6709968139,55239,B01,SBST EAST DISTRICT,29637,41001
29261.8536002569,35811.6790968314,52169,B05,BLK 117,29262,35812
26101.1397980687,47408.2543990847,58281,B03,SEMBAWANG SEC SCH,26101,47408
28952.5600979076,33968.0356976985,50049,B08,OPP NOVENA LODGE,28953,33968
7364.36410123917,35158.4563990282,25101,B15,OPP SMC MFG,7364,35158
39965.2762020155,33036.0345016196,94031,B11,THE SUMMIT,39965,33036
13270.0358024898,36336.2784030231,22341,B04,BLK 673C,13270,36336
27230.029302999,46220.2839022943,57129,B18,BLK 114,27230,46220
17392.2498967908,36026.5422016561,28331,B03,BLK 229,17392,36027
12911.938297852,40836.8238975965,32109,NIL,BEF LOR SERAMBI,12912,40837
19843.090801053,37237.4751984008,43239,B09,THE PETALS CONDO,19843,37237
29725.9281988204,35166.8597000578,52231,B01,OPP BLK 177,29726,35167
22810.488698826,30719.4543980491,18109,B03,OPP PSB SCIENCE PK BLDG,22810,30719
17351.465196973,36997.4700989906,43761,B16,AFT LP 32,17351,36997
29537.0249015499,33118.1201986215,50071,B02,CAMBRIDGE PR SCH,29537,33118
37629.8988029714,32771.347301592,93101,B02,AFT COLDSTREAM AVE,37630,32771
21734.938201013,35922.3301017428,42259,B02A,GOH \& GOH BLDG,21735,35922
40330.7031978752,33972.2086976633,84109,B06,BLK 50,40331,33972
25003.9012992745,28265.5571028848,14179,B12,YEO'S BLDG,25004,28266
21714.3556010231,46930.9513983557,46201,B02,BLK 10,21714,46931
28444.7122379184,34417.3212922694,51101,B04,OLD POLICE ACADEMY,28445,34417
22272.6298019309,32138.1500015725,19099,B01,OPP S'PORE POLY,22273,32138
21320.3581882744,47479.2887990813,46159,B07,BLK 206,21320,47479
28611.5650078844,45061.187106996,59341,NIL,OPP BLK 651,28612,45061
29173.4487028357,29141.6363000445,05271,B02,OPP FAIRFIELD METH CH,29173,29142
12650.3374165214,35872.9418341781,22369,B07,BLK 705,12650,35873
19745.98100119,36053.2276031181,43629,B03,YUSOF ISHAK SEC SCH,19746,36053
23852.3629685716,32629.4002656112,11419,B01,HOLLAND VILLAGE STN,23852,32629
35334.626701877,38781.7879089173,64309,B03,,35335,38782
34026.0638982823,33151.1653026972,81031,B11,BEF GEYLANG EAST AVE 2,34026,33151
28208.1750002856,44376.9759994185,59421,B02,BLK 624,28208,44377
34454.4530008568,38700.8320026734,63061,B27,BEF NATIVITY CH CTR,34454,38701
15381.6140030422,34847.1344997874,21541,B02,JURONG TOWN SWIM CPLX,15382,34847
18714.4558011925,42413.0883971685,45399,B01,REGENT GR CONDO,18714,42413
29797.6922125808,45365.4131089127,59591,B02,BET BLKS 405/406,29798,45365
38203.6465979284,33459.5392019313,83279,B01,AFT CARMEN ST,38204,33460
6839.70210113578,34641.0516977575,25071,B07,OPP NISSIN TPT,6840,34641
21809.4082973382,34968.9945992039,12101,B03,NGEE ANN POLY,21809,34969
13826.4108029615,45489.4942018679,33041,B13,OPP LIM CHU KANG LANE 3,13826,45489
40577.542296701,40466.9151979543,77111,B01,BEF PASIR RIS WAY,40578,40467
32675.9997977825,30997.0954024932,90039,B07,OPP TG RIA CONDO,32676,30997
19276.9710029788,46338.5770032878,49121,B09,AFT SMRT BUSES KRANJI DEPOT,19277,46339
41244.4449010861,37940.6773994354,76389,B01,BLK 442,41244,37941
12345.5027991662,33922.3060007443,23019,B19,NIPPON PAINT,12346,33922
20861.9276985512,40352.4540032335,44341,B03,BLK 401A CP,20862,40352
28406.0875275193,31632.8788692748,09037,B12,OPP MANDARIN ORCHARD,28406,31633
28472.2206009332,49228.4710015958,58099,B38,OPP SEMBAWANG PK,28472,49228
36385.1183019306,43411.0573971141,65101,B21,AFT PUNGGOL DR,36385,43411
14025.9231008654,47160.6548015916,34051,B01,AFT LIM CHU KANG LANE 8,14026,47161
23637.1589020699,31260.5685994101,18171,B08,BEF WEYHILL CL,23637,31261
29709.984492844,35545.8761722415,52229,B02,JACKSON SQ,29710,35546
34892.6361030149,34189.3159052481,71211,B07,,34893,34189
40905.060096726,39551.6342001332,77008,NIL,PASIR RIS INT,40905,39552
26270.5349982356,29595.7793988269,10091,B11,BT MERAH TOWN CTR,26271,29596
31125.3144999906,30420.177300912,02099,B03,MARINA CENTRE POINT 1,31125,30420
29133.3812007733,33533.6359995113,50038,B04,NOVENA STN,29133,33534
39431.370097506,36422.7331026233,75221,B08,OPP TEMASEK POLY EAST G,39431,36423
15992.8401695633,39616.6017595369,30051,B16,,15993,39617
29523.309997798,33127.7235025735,50079,B01,OPP CARLISLE RD,29523,33128
39685.2315019079,34861.5781988103,84239,B13,OPP BLK 85,39685,34862
37607.775997468,35529.4449019581,84469,B14,BLK 703,37608,35529
35657.5104990432,40603.4255998298,67151,B02,BLK 117A,35658,40603
33206.3929970052,31111.1980973474,90059,B11,S'PORE SWIM CLUB,33206,31111
18551.7168026726,36378.2558977457,43519,B08,OPP BT BATOK SWIM CPLX,18552,36378
8458.14529945406,32184.3987022,24431,B01,AFT PIONEER SECTOR 2,8458,32184
32345.7920012174,39500.4710968398,66429,B02,BLK 530,32346,39500
43864.4014968091,39971.6276981512,98151,B11,OPP RHONE-POULENC,43864,39972
30194.0257029227,33736.2471971393,50221,NIL,OPP BALESTIER TWRS,30194,33736
28990.3925006312,46425.7022003461,59199,B02,BLK 250,28990,46426
14919.1090097271,36560.8409979107,21711,B16,CORPORATION ROAD,14919,36561
19640.6488730261,34691.8754433558,28181,B01,OPP ULU PANDAN R.I. PLANT,19641,34692
22060.6881026962,45874.6883016116,NIL,NIL,WOODLANDS ST 32,22061,45875
26603.2483994243,28427.3896997869,14319,B01,BLK 28,26603,28427
13272.0342979894,43463.8630967356,32051,B27,AFT TRACK 11,13272,43464
39198.3064973056,34956.9960023415,84521,B03,BLK 506,39198,34957
19349.6999009909,43662.1313977265,45081,B21,OPP MANDAI RD,19350,43662
29941.078700246,39582.7475026748,54441,B01,BLK 507,29941,39583
42575.8913124859,38823.5243905007,98111,NIL,OPP LOYANG PT,42576,38824
28560.1076696145,32736.3798152506,40189,B02,NEWTON STN,28560,32736
28621.9053976479,34864.6289988782,51039,B16,OPP S'PORE POLO CLUB,28622,34865
8312.50750101113,33326.9534006434,25321,B01,YCH DISTRIPK,8313,33327
38739.7473985936,36729.2753996894,75241,B04,OPP TEMASEK POLY WEST G,38740,36729
29266.8482020203,40062.6501026897,55209,B10,ANDERSON JC,29267,40063
18330.4588000418,37995.6045004984,43481,B05,BLK 315,18330,37996
30133.9625988565,31781.2564867095,07531,B01,AFT SIM LIM SQ,30134,31781
29174.4489010933,40386.9004990763,55181,B11,OPP YIO CHU KANG STN,29174,40387
32933.0256011385,36226.862899861,62081,B06,OPP BARTLEY CHR CH,32933,36227
43276.9960992001,39059.8545032382,98049,B08,LOYANG VALLEY,43277,39060
40799.4123999655,39295.3692980902,77039,B12,BEF PASIR RIS CTRL,40799,39295
18620.1780987888,33355.4427999421,20149,B18,BLK 408,18620,33355
27947.4684015981,30664.5394027594,13119,B03,OPP GREAT WORLD CITY,27947,30665
19308.4019005468,46284.6710974643,49129,B08,LIP GUAN IND,19308,46285
27498.5973010454,42221.2672983168,55281,B09,AFT SLE,27499,42221
30228.0601998304,39792.2793015421,54471,B16,OPP BLK 538,30228,39792
33955.6292027133,38073.6436018742,NIL,B02,AFT HOUGANG AVE 1,33956,38074
18271.8373061049,41071.6075539117,44541,B03,NORTHVALE CONDO,18272,41072
28106.7407000723,37248.8985994158,53041,B05,BEF THOMSON RIDGE,28107,37249
30900.6142992936,34184.8668025636,52129,B01,BLK 29,30901,34185
28394.0945016888,41608.6890014167,55269,B06,OPP BULLION PK,28394,41609
40171.2227975949,40074.2973020913,77201,B15,AFT BLK 601,40171,40074
33375.4209975188,36382.4010029463,62031,B11,,33375,36382
28696.2019008816,30905.6448007821,13099,B07,BFE AA CTR,28696,30906
29611.7934969354,39631.3936018515,54341,B09,OPP BLK 504,29612,39631
23815.8147019141,45456.0280030252,46999,B16,Opp Blk 589,23816,45456
17711.8647985495,41158.9768004537,45249,B12,BLK 511A,17712,41159
25804.2968986551,47710.1366995434,58389,B04,OPP BLK 469B,25804,47710
42206.4856097012,39570.2089051573,78229,B05,,42206,39570
18537.1194976254,36622.9356012203,43389,B04,OPP BLK 102,18537,36623
34180.0031019962,34098.0673986617,70201,B01,ITE MACPHERSON CAMPUS 1,34180,34098
20791.5201980671,38551.9068003234,43869,NIL,BEF DAIRY FARM EST NTH GATE,20792,38552
29685.0766994252,36697.8614000382,53221,B03,BLK 115,29685,36698
21214.4503031995,33492.8321971266,12111,B07,BEF CLEMENTI RD,21214,33493
41753.5612005609,39117.737696826,78079,B01,BLK 429,41754,39118
19592.6066301479,40732.5047731429,44051,B03,AFT HEAVY VEH PK,19593,40733
18277.5404388405,31704.3772293007,29069,B24,AFT PANDAN RD,18278,31704
19917.8645186195,40633.2818161736,44791,B01,WEST VIEW PRI SCH,19918,40633
19260.3989981312,44399.597003035,45109,B24,BEF JLN BUMBONG,19260,44400
10370.2554997276,32745.5156013697,24289,B16,IND ALLOYS PTE LTD,10370,32746
43448.1857987263,36655.9578997091,97181,B07,SEAMAP,43448,36656
8784.14519789566,33510.7902007951,24511,B01,TUAS FIRE STN,8784,33511
20882.6389999404,31904.1830030951,17121,B10,BLK 610,20883,31904
32413.2464983272,42264.0947978599,68049,B10,OPP JLN TARI LILIN,32413,42264
18449.9535013391,37456.3916976228,43461,B01,AFT BT BATOK WEST AVE 5,18450,37456
18924.776501749,43908.305999175,49021,B03,WHYE HUP DEVT & CONSTRUCTION,18925,43908
9456.17909895012,32529.1038024687,24169,B10,BEF GUL CIRCLE,9456,32529
21703.4981020012,47264.6779022658,46129,B06,HAWKER CTR,21703,47265
20073.8854466741,40060.7273375806,44029,B24,BT PANJANG STN,20074,40061
32875.1558994812,39851.7308000307,64119,B18,BLK 953,32875,39852
10833.1324980411,35933.8832008701,27231,B11,SCH OF COMMS STUDIES,10833,35934
34228.5117009755,40016.328397781,64431,B02,BLK 568,34229,40016
19694.7750986416,45090.2297018466,45121,B29,OPP S'PORE TURF CLUB,19695,45090
30091.1431984322,30072.6350008052,02011,B01,VICTORIAL CONCERT HALL,30091,30073
40771.7139023828,39472.0928013441,77329,B01,BEF PASIR RIS ST 53,40772,39472
41079.2285029421,39400.856801279,77179,B03,PASIR RIS TOWN PK,41079,39401
13298.6547018784,44363.2175967323,32081,B21,SG GEDONG CAMP,13299,44363
34367.3708010759,39814.9296982929,64361,B05,BLK 535,34367,39815
35039.7021978769,31860.3716025431,92169,B01,BEF KATONG PO,35040,31860
31169.3222728181,30198.4205127014,02101,B05,BEF TEMASEK AVE,31169,30198
30740.7999011262,30925.4546973203,80159,B02,SUNTEC CITY,30741,30925
28903.9834980146,33307.6134972189,50061,B03,OPP HOTEL ROYAL,28904,33308
11365.7081028253,32672.4218007648,23251,B07,AFT SHIPYARD RD,11366,32672
23284.4678001081,33839.8632032347,11329,B09,REGENT VILLA,23284,33840
34109.3542979398,40363.3831005771,64621,B08,BLK 565,34109,40363
27693.2482002959,28122.674298555,14081,B07,TG PAGAR DP BLK F5,27693,28123
26408.4033985559,28252.5482944289,14451,B05,AFT JEWEL BOX,26408,28253
35128.1747265699,31445.2470940396,82051,B02,TG KATONG RD STH P/G,35128,31445
36545.0682992797,33420.5789028646,83049,B08,BEF LOR 110 CHANGI,36545,33421
33633.1172983327,39619.4021998052,64471,B02,BLK 917,33633,39619
31062.4883026926,32870.989703141,07359,B06,OPP EMINENT PLAZA,31062,32871
18808.8573996503,44554.1589015844,49041,B07,DHDECO PTE LTD,18809,44554
38709.0132298591,36972.3770225541,75039,B02,SPRINGFIELD SEC SCH,38709,36972
12433.1756999533,39566.6286986361,31141,B36,BAHAI CEMY,12433,39567
13899.1555031662,45671.1765968344,33059,B12,AFT LIM CHU KANG LANE 3A,13899,45671
28820.5674993097,44520.3371996152,59291,B03,BLK 666,28821,44520
26960.3691978693,31401.5618998038,13181,B05,AFT ONE TREE HILL,26960,31402
15589.3854020184,34065.0863020467,21029,B07,AFT CORPORATION PL,15589,34065
30528.5884028868,39055.0472967321,54281,B11,BLK 570,30529,39055
20219.9928025814,31225.3860012674,17361,B15,OPP WEST COAST LINK,20220,31225
22266.0937009074,31781.0402989862,19089,B03,UNITED WORLD COLLEGE,22266,31781
30026.940098145,30974.2975978212,04179,B03,NTUC INCOME CTR,30027,30974
23004.3475016249,30345.8452988515,18251,B05,OPP REUTERS,23004,30346
24078.3441303746,28491.8739655681,15151,B03,BAYANIHAN CTR,24078,28492
33718.7390890519,39767.278510174,64609,B05,,33719,39767
31041.6814950696,29741.8984974662,03501,B01,MARINA BAYSANDS THEATRE,31042,29742
41847.3787977724,36599.8001022419,96121,B07,BLK 135,41847,36600
14901.2012971634,34350.5391012227,21479,B04,HUP LECK HEAVY EQUIPMENT,14901,34351
20404.8959999,37810.0614992035,43819,B02,HILLVIEW GREEN,20405,37810
18608.6998983576,45348.2212013464,49069,B12,TROPICAL FURNITURE LTD,18609,45348
21829.1167007636,31094.8255011198,18311,B05,BLK S12,21829,31095
35847.5222006457,32901.1802012042,82179,NIL,JOO CHIAT CT,35848,32901
29299.2724990747,30474.8744978958,04331,B03,LIANG CT,29299,30475
20803.954299131,35665.0687968726,42301,B02,BT BATOK SEC SCH,20804,35665
18928.536598476,31831.7558979169,29071,B10,GAS SVC INTL,18929,31832
26111.765010141,33955.1369963326,41029,B16,OPP BOTANIC GDNS STN,26112,33955
18865.0028999225,44239.9431020736,49031,B05,OPP CROWN ALLIANCE INDUSTRIES,18865,44240
22821.4385027185,29236.8657974151,15079,B11,AFT LOR SARHAD,22821,29237
17960.5102978846,39799.9541967449,44099,B05,FORMER KEAT HONG CAMP,17961,39800
33490.2853989773,40153.4885971664,66491,B03,OPP BLK 910,33490,40153
32355.6108988253,31044.0271023968,90029,B05,OPP PEBBLE BAY,32356,31044
28078.6610026481,29694.9651011702,06051,B01,BLK 55,28079,29695
39334.1320979006,33552.0604978967,84119,B05,OPP TEMASEK JC,39334,33552
22704.0855991763,29087.6087028168,15229,B14,OPP REDWOOD WEST,22704,29088
18468.2545987265,35194.7334013148,28659,B02,IMM BLDG,18468,35195
35875.8012010779,35068.7005989672,72051,B01,KAKI BT IND EST,35876,35069
31040.9340460826,30636.1667905083,02169,B01,CENTENNIAL TWR,31041,30636
25039.4801997717,29386.7075995397,14471,B03A,BLK 114,25039,29387
28768.6400029073,38159.8427996916,53321,B02,CITY CAB,28769,38160
24687.0219194201,46622.0550762605,47549,B08,OPP BLK 639,24687,46622
21874.1074967005,31433.7829003973,16099,B07,ITE DOVER,21874,31434
25737.1621022106,49521.7604011176,47801,B10,SUNSHINE BAKERY,25737,49522
24216.4747982452,47268.378697866,46811,B01,BLK 726,24216,47268
22092.7830025854,29836.2174017436,16029,B20,GLORIA MAN,22093,29836
21578.4057017283,47441.8332991117,46161,B06,GES S'PORE,21578,47442
18231.7934017193,42129.0421977503,45349,B04,OPP BLK 604A,18232,42129
31425.9849029775,28813.2934988354,03341,B02,AFT MARINA BLVD,31426,28813
26664.9530635011,28105.7356551178,14441,NIL,MARINA DECK,26665,28106
33799.2170020746,38029.0647982717,63039,B22,KOVAN STN,33799,38029
32118.4096324683,39257.2158283463,66339,B04,BLK 101,32118,39257
20127.699522881,39600.5144410698,44011,B25,OPP THE LINEAR,20128,39601
39459.4276296158,39872.6413648234,77169,B03,MERIDIAN JC,39459,39873
26966.4007970646,26482.1006972716,14519,NIL,RESORTS WORLD AT SENTOSA,26966,26482
35077.5532015105,38542.2377991189,64231,B02,BLK 316,35078,38542
15652.5087980291,37252.1984985403,28561,B04,BLK 402,15653,37252
35810.9364021308,32258.7605000404,92179,NIL,AFT DUKU RD,35811,32259
30424.0748995838,33399.6163967799,50239,B03,S'PORE INDIAN ASSN,30424,33400
17150.296903221,36669.5456004317,28111,B01,AFT BT BATOK RD,17150,36670
32295.296398642,39037.7986029243,66309,B05,BLK 112,32295,39038
24414.9544024053,32611.9555031623,11231,B09,AFT ESTORIL MANS,24415,32612
17445.7646026385,36728.1313975193,43451,B17,BEF PIE,17446,36728
25441.8889994672,28374.5986010216,14359,B01,BLK 50,25442,28375
34500.2962042866,39268.1071033995,64549,B03,,34500,39268
26527.9229978774,27608.7611359475,14129,B04,HARBOURFRONT STN,26528,27609
17969.140202619,52983.8165031095,46239,NA,LARKIN TER,17969,52984
11891.2969998713,34432.2817969162,23169,B13,BEF KIAN TECK RD,11891,34432
11796.6184009919,35762.0750969951,27141,B04,BLK 920,11797,35762
24532.3881981235,28552.9514991062,15049,B21,OPP NOL BLDG,24532,28553
28112.1466010914,44613.6422024805,59051,B05,BLK 790,28112,44614
45141.1331004274,37567.868997465,95109,NIL,CHANGI AIRPORT PTB3,45141,37568
25213.8095982501,29858.0977023384,10139,B16,BLK 1,25214,29858
24026.7630016624,46417.3816991089,46851,B01,BLK 664,24027,46417
28022.9356928402,30060.0518944389,06081,B03A,BLK 94,28023,30060
27459.8308989735,48059.7031984654,58051,B29,BEF SEMBAWANG CC,27460,48060
35439.3227554877,42670.1180685633,65341,NIL,OPP BLK 272C,35439,42670
28770.5746031589,29184.2630972208,05069,B09A,OUTRAM PK STN,28771,29184
28558.4075015557,28880.8763012995,10021,B05,BLK 3,28558,28881
43207.5917739113,36404.5739411365,97179,B06,SATS CATERING,43208,36405
13298.9962972273,32878.8387987042,22049,B04,BEF TG KLING RD,13299,32879
23189.70370173,33722.7358010723,11321,B08,OPP REGENT VILLA,23190,33723
29417.7345990387,35400.3625998901,52191,B04,BLK 140,29418,35400
5398.73019829738,30173.1412027395,26409,NIL,MULTICO,5399,30173
19233.755900868,36745.5547009341,43171,B10,BLK 229,19234,36746
13018.7646969187,33898.8623986162,22039,B17,MARKONO HOLDINGS,13019,33899
27511.1445983497,31875.4256001953,09111,B03,OPP FOUR SEASONS HOTEL,27511,31875
40654.656501161,33613.4453028902,84681,B14,BLK 163,40655,33613
20322.7839989143,34284.2419001909,12209,B02,OPP LOGISHUB @ CLEMENTI,20323,34284
20749.1410741855,32464.3383777941,16891,B01,OPP BLK 420A,20749,32464
7066.04419848154,33080.8436977567,26031,B05,HIAP SENG ENGRG LTD,7066,33081
14587.4354970984,36980.7047978164,21169,B18,JURONG JC,14587,36981
24555.5705030113,31215.7550995848,11151,B07,BLK 42,24556,31216
38877.9609982716,38284.9185990815,75299,B06,BEF TAMPINES AVE 9,38878,38285
24740.6025997517,30404.2144989695,11551,B03,TIONG GHEE TP,24741,30404
20832.2046985188,35572.4305026354,42309,B01,OPP BT BATOK SEC SCH,20832,35572
13170.0316997111,43701.2104970693,32061,B25,OPP LP 173,13170,43701
36909.7598991196,39839.9991968548,64181,B21,BEF TPE,36910,39840
18930.7621003261,36515.3001021732,43741,B04,BT VIEW SEC SCH,18931,36515
35907.7401978822,43054.7307017482,65359,NIL,OPP PUNGGOL VIEW PR SCH,35908,43055
18661.6621875419,35426.365450927,28661,B07,MORI SEIKI,18662,35426
20060.9173978418,37519.5490016799,43249,B07,HILLVIEW APTS,20061,37520
14513.7731013948,36172.6733994678,21409,B03,BLK 191,14514,36173
40815.2803359469,39079.5163779856,77341,B02,OPP BLK 569,40815,39080
39142.1629970603,32619.0179016864,93041,B17,HUA XIN CT,39142,32619
39401.639202978,32955.2157985393,94019,B08,OPP EVERGREEN AVE,39402,32955
28305.3709003154,36036.6723971762,51071,B21,MACRITCHIE RESERVOIR,28305,36037
27626.162203187,46246.6190020198,59121,B20,BLK 121,27626,46247
44238.5836004055,41055.6426991362,99079,B02,AFT OLD PIER RD,44239,41056
22991.0600029558,32296.2540005206,11199,B02,BLK 15,22991,32296
44142.0159992469,41066.255000144,99071,B01,AFT OLD PIER RD,44142,41066
34577.5681006344,37028.5363976002,NIL,B04,DEFU AVE 1,34578,37029
20469.028300556,38801.090999966,43081,B19,OPP ASSUMPTION ENG SCH,20469,38801
11886.3141012355,34101.4417014262,23119,B05,OPP HITACHI CABLE PTE LTD,11886,34101
22601.445111139,32261.0083058205,19019,B04,OPP BLK 19A CAR PARK,22601,32261
42291.2445967481,35147.7395025557,96409,B02,OPP EXPO MRT STN,42291,35148
27201.3057025336,30451.6612024925,10519,B01,BLK 4,27201,30452
12985.9236021847,35702.4872996454,22539,B04,JURONG WEST PR SCH,12986,35702
39747.5209989253,35074.1712005256,84251,B02,BLK 99,39748,35074
10335.2163028516,34418.5275989069,24149,B04,IND SVCS PTE LTD,10335,34419
20684.6018967754,39291.796603221,43129,B03,CASHEW PK CONDO,20685,39292
23086.6618023585,30274.9842015136,18269,B06,BEF REUTERS,23087,30275
30217.5136026757,34092.2346998288,50159,NIL,OPP JUMBO IND BLDG,30218,34092
32974.5772881596,39027.1537998296,63319,B07,OPP BLK 634,32975,39027
32308.8976507018,35727.4862494046,61059,B08,,32309,35727
17588.5172996096,40130.638098717,44519,B04,BLK 402,17589,40131
11661.1146001003,36657.8730013489,27291,B03,OPP HALL 6,11661,36658
41061.7533968512,35500.1366005671,96109,B04,OPP BLK 3012,41062,35500
41580.5932989241,37993.1476027999,76341,B03,BLK 464,41581,37993
5342.84619988863,33307.2044026132,26251,NIL,BEF TUAS STH AVE 2,5343,33307
34215.0149981753,37893.3993978491,63261,B05,OPP BLK 232,34215,37893
24637.5640007545,30549.6143008152,11579,B01,BLK 158,24638,30550
17673.3575022692,40157.8248996554,44511,B03,BLK 289,17673,40158
38164.5554984243,34598.2720998482,84369,B03,BLK 45,38165,34598
20073.0064975704,33674.4980968219,20109,B20,BLK 203,20073,33674
15316.689203289,36885.6286028356,28391,B03,BLK 501,15317,36886
