X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
12493.080999919,39550.8239978278,31149,B35,OPP BAHAI CEMY,12493,39551
28316.0718031737,31418.548702304,09059,B01,NATL YOUTH COUNCIL,28316,31419
30504.2505973246,39777.614002182,54481,B14,OPP ANG MO KIO ITE,30504,39778
26198.9329998535,31296.6015984181,13031,B06,HSE NO 305,26199,31297
21859.0532020146,33083.3875999245,12199,B03,OPP VILLAGE TWRS,21859,33083
33199.6368996264,41543.5667996711,67479,B01,BEF FERNVALE LINK,33200,41544
41960.1825972864,39708.2174987804,78111,B09,BLK 479,41960,39708
36028.7221006804,42790.4364971002,65229,B03,BLK 298,36029,42790
41067.6330006048,34619.6856020916,85101,B01,AFT BEDOK RD,41068,34620
13932.3085030812,35558.6060000512,22571,B29,OPP BOON LAY STN,13932,35559
32846.6458530403,40205.3582182037,64129,B20,BEF BLK 965,32847,40205
25683.6371982061,30086.0898020524,10419,B02,BLK 52,25684,30086
42075.2270011635,39495.922402058,78231,B01,OPP BLK 482,42075,39496
33458.7718006281,39187.2078975874,63389,B14,OPP XINMIN PR SCH,33459,39187
32335.9969983199,31063.5840978471,90021,B06,PEBBLE BAY,32336,31064
13576.3115019142,32883.6547974077,22069,B06,COOLING SYS PTE LTD,13576,32884
13228.592400752,44206.3772979322,32071,B23,AFT TRACK 13,13229,44206
40591.4850979045,34341.5145971269,85099,B14,TANAH MERAH STN,40591,34342
21045.1014006843,40242.0791010419,44331,B01,BLK 239,21045,40242
41603.7640062964,35413.1090087807,96081,B05,,41604,35413
24568.7377030344,30391.8458971355,11561,B05,BLK 166,24569,30392
40554.0431030668,37318.3760015941,76141,B09,TAMPINES STN/INT,40554,37318
30951.5802976284,38079.6104015189,66191,B03,S'GOON GDN SCH,30952,38080
12476.898597666,32211.5971006539,23389,B02A,ASIA CEMENT PTE LTD,12477,32212
30329.4549021518,39373.9205977672,54411,B02,BLK 527,30329,39374
14993.3049967588,36905.6134984249,28531,B09,BLK 536,14993,36906
